url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.bostonherald.com/2024/03/09/lucas-haley-and-trump-should-join-forces/,https://www.bostonherald.com/2024/03/09/lucas-haley-and-trump-should-join-forces/amp/,Lucas : Haley and Trump should join forces,20240309T124500Z,https://www.bostonherald.com/wp-content/uploads/2024/01/leynl09_393da6.jpg,bostonherald.com,English,United States
https://www.nytimes.com/2024/03/09/us/politics/biden-ad-age.html,,New Biden Ad Pokes Fun at His Age :  Im Not a Young Guy . That No Secret . ,20240309T124500Z,https://static01.nyt.com/images/2024/03/09/multimedia/09pol-biden-ad-01-hblv/09pol-biden-ad-01-hblv-facebookJumbo.jpg,nytimes.com,English,United States
https://www.apr.org/news/2024-03-09/biden-visiting-battleground-states-and-alabamas-embryos-as-children-ruling-is-part-of-his-message,https://www.apr.org/news/2024-03-09/biden-visiting-battleground-states-and-alabamas-embryos-as-children-ruling-is-part-of-his-message?_amp=true,Biden visiting battleground states and Alabama  embryos as children  ruling is part of his message,20240309T124500Z,http://npr-brightspot.s3.amazonaws.com/e4/29/5c7f70dd44f2be504c4aa06ff368/ap24068807895937.jpg,apr.org,English,United States
https://ktvz.com/politics/cnn-us-politics/2024/03/09/biden-trump-rematch-kicks-off-in-georgia-with-dueling-visits-saturday/,,Biden - Trump rematch kicks off in Georgia with dueling visits Saturday,20240309T123000Z,https://ktvz.b-cdn.net/2023/08/T6W6K2eT-ktvz-860x484.jpg,ktvz.com,English,United States
https://www.sandiegouniontribune.com/news/nation-world/story/2024-03-08/the-biden-trump-rematch-comes-into-view-with-dueling-visits-to-georgia,,The Biden - Trump rematch comes into view with dueling visits to Georgia,20240309T123000Z,https://california-times-brightspot.s3.amazonaws.com/e0/f2/4fcd988bd0e59d3cf606dab1fd0b/a7b78856c6bc4f629b392a4a164e64a8,sandiegouniontribune.com,English,United States
https://www.washingtonpost.com/politics/2024/03/09/biden-ad-campaign-age-trump/,,"Biden releases new ad addressing age , attacking Trump as campaign shifts",20240309T123000Z,https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/LAS5OMHJCPSTBVXZC6ZNZZYB2U.jpg,washingtonpost.com,English,United States
https://www.bdtonline.com/news/nation_world/the-biden-trump-rematch-comes-into-view-with-dueling-visits-to-georgia/article_1b550bc5-2832-50d7-9225-04ed5b383065.html,,The Biden - Trump rematch comes into view with dueling visits to Georgia,20240309T121500Z,https://bloximages.chicago2.vip.townnews.com/bdtonline.com/content/tncms/assets/v3/editorial/b/eb/beb0cfc8-1e7b-5006-b453-451a9ba09ea0/65ec0c35dd090.image.jpg?crop=1722%2C904%2C0%2C149,bdtonline.com,English,United States
https://www.yahoo.com/news/pacs-announce-30-million-commitment-100000709.html,,PACs to announce $30 million commitment to mobilizing minority voters for Biden,20240309T121500Z,https://media.zenfs.com/en/the_hill_articles_341/44db87b82e9416683a36128455d9927d,yahoo.com,English,United States
https://us.cnn.com/2024/03/09/politics/biden-trump-georgia/,https://amp.cnn.com/cnn/2024/03/09/politics/biden-trump-georgia/index.html,Biden - Trump rematch kicks off in Georgia with dueling visits Saturday,20240309T121500Z,"https://media.cnn.com/api/v1/images/stellar/prod/240306103335-02-super-tuesday-joe-biden-donald-trump-split.jpg?c=16x9&q=w_800,c_fill",us.cnn.com,English,United States
https://abc17news.com/politics/national-politics/cnn-us-politics/2024/03/09/biden-trump-rematch-kicks-off-in-georgia-with-dueling-visits-saturday/,,Biden - Trump rematch kicks off in Georgia with dueling visits Saturday,20240309T133000Z,https://abc17news.b-cdn.net/abc17news.com/2023/08/kmiz-860x484.webp,abc17news.com,English,United States
https://www.aol.com/pacs-announce-30-million-commitment-100000123.html,,PACs to announce $30 million commitment to mobilizing minority voters for Biden,20240309T133000Z,https://media.zenfs.com/en/aol_the_hill_articles_315/44db87b82e9416683a36128455d9927d,aol.com,English,United States
https://www.aol.com/biden-trump-rematch-kicks-off-100037857.html,,Biden - Trump rematch kicks off in Georgia with dueling visits Saturday,20240309T133000Z,https://media.zenfs.com/en/aol_cnn_articles_945/61767fc1f13ba66f75604c59f95371d4,aol.com,English,United States
https://www.aol.com/news/biden-trump-rematch-kicks-off-100037857.html,,Biden - Trump rematch kicks off in Georgia with dueling visits Saturday,20240309T133000Z,https://media.zenfs.com/en/aol_cnn_articles_945/61767fc1f13ba66f75604c59f95371d4,aol.com,English,United States
https://www.yankton.net/news/national_ap/article_f15e0066-1b12-5d11-b475-cf033c2e87da.html,,Biden visiting battleground states and expanding staff as his campaign tries to seize the offensive,20240309T130000Z,https://bloximages.chicago2.vip.townnews.com/yankton.net/content/tncms/assets/v3/editorial/d/85/d85ab139-7079-58b9-944c-571382c0e737/65eba1654b6b2.image.jpg?crop=1763%2C926%2C0%2C124,yankton.net,English,United States
https://www.greensburgdailynews.com/news/nation_world/biden-visiting-battleground-states-and-expanding-staff-as-his-campaign-tries-to-seize-the-offensive/article_2d8314ca-30e9-526c-9160-73276336c62b.html,,Biden visiting battleground states and expanding staff as his campaign tries to seize the offensive,20240309T144500Z,https://bloximages.chicago2.vip.townnews.com/greensburgdailynews.com/content/tncms/custom/image/0441c36e-bdf2-11e5-a5df-bb2003ff1eb0.jpg,greensburgdailynews.com,English,United States
